P;D_plan;x;y;z;rx;ry;rz;fx;fy;fz;f
0;17.5;56.003298819301918;0.052006635360728026;13.00123218771364;9.684233E-06;-0.002514022;1.8639013E-05;0;0;0;0
0.01;17.5;53.634199484184492;-0.057822214;24.561743655240889;0.032373077;-24.40812544;0.157669716;0;0;0;0
0.02;17.5;48.564507826164473;-0.108908606;34.052384533918257;0.163209755;-47.16492411;0.169130068;-8.72E-13;2.4631290223880315E-16;-1.92E-13;8.9281816197465769E-13
0.03;17.5;47.762110455826033;-0.104232891;34.666258254087325;0.225602389;-54.54843042;0.275141823;0.026902600954351784;0.000861487;0.087293456;0.091348998634646808
0.04;17.5;47.358171804741133;-0.140064626;34.656815209424849;0.143136695;-60.68811019;0.069962919;0.033607368452834858;0.000936104;0.1845519547994236;0.18758932679122411
0.05;17.5;46.789128049209822;-0.130699267;34.644191422498579;0.152719851;-67.32359131;0.262040278;0.015214965466430586;0.000512099;0.28248561508389003;0.2828955286838935
0.06;17.5;46.162672742202986;-0.099009872;34.626280226743575;0.158102859;-74.14220248;-0.011737892;-0.029062539;0.000326275;0.3753257065359884;0.37644936390957739
0.07;17.5;45.605863555267561;-0.140905847;34.604064383542891;0.349395075;-79.73379381;0.464931778;-0.096939637;0.001878353;0.46017088168040116;0.470274454
0.08;17.5;45.608788593605269;-0.141546794;34.54056946;0.337852304;-81.91272835;0.357280618;-0.127741307;0.001531136;0.54329532096611977;0.55811288443192264
0.09;17.5;45.632119043663252;-0.109402322;34.37132184;0.504263251;-84.15215292;0.504801325;-0.185841762;-0.000163199;0.62728599108321514;0.65423612070411419
0.1;17.5;45.374184354141462;-0.105001523;33.915706076658125;0.705505304;-88.38794525;0.284952744;-0.271064975;-0.000490449;0.69805229884243625;0.74883474349916945
0;18.5;56.003299486718234;0.052010528;13.001225216880584;4.780317E-06;-0.002490074;1.1130089E-05;0;0;0;0
0.01;18.5;53.645251645639647;-0.039331721;24.563409605062361;0.053697088;-24.28286073;0.109293874;0;0;0;0
0.02;18.5;48.860398693874586;-0.111715297;33.638249077833052;0.269595151;-46.28811781;0.181250366;0.001328507;7.9982013945006317E-07;0.003131714;0.003401847
0.03;18.5;48.47296338;-0.102903086;33.67502204421794;0.25073745;-52.74040463;-0.073441401;0.034162251394405242;0.000809088;0.099394100665515447;0.10510424011539687
0.04;18.5;48.093916936710585;-0.121815376;33.665247836149092;0.173872544;-58.78721602;-0.032396414;0.043031089197831107;0.000548056;0.19735955818956105;0.20199695594663866
0.05;18.5;47.605444176986921;-0.209191909;33.650184788740034;0.115717664;-65.27050743;0.148533303;0.026861772440791465;0.001057871;0.29575283776602423;0.2969720777396847
0.06;18.5;47.029751642540205;-0.077830705;33.635424771345015;0.248848185;-71.83975069;0.556832881;-0.015612652;0.000360375;0.39086951628109889;0.39118136908837758
0.07;18.5;46.342223032310713;-0.086876566;33.61428849;0.314176611;-78.43603467;0.105536272;-0.078104649;0.0008618;0.486425332;0.49265675973014283
0.08;18.5;46.313091023758162;-0.109961714;33.560898699796553;0.227288616;-80.92827762;0.270138335;-0.12907132;0.000761143;0.56428437336866166;0.57885822017032618
0.09;18.5;46.161505921676863;-0.077612433;33.435393729246016;0.564941915;-83.71052343;0.640613648;-0.148122195;-0.002284521;0.66907698734045506;0.68528054
0.1;18.5;46.069218381241072;-0.104923736;33.067455210721846;0.616627842;-87.14560002;-0.085271558;-0.244567861;-0.001399771;0.73120137437037935;0.77101935628598883
0;19.5;56.003298912383244;0.052011181793263361;13.001232962282984;7.952968E-06;-0.002506649;1.1196535E-05;0;0;0;0
0.01;19.5;53.620736821487654;-0.033591102;24.618490376508589;0.002373118;-24.44042185;0.096135209;0;0;0;0
0.02;19.5;49.476265652969587;-0.071028793;32.67147223;0.172622106;-44.58554543;0.183891356;0.007527995;0.000164171;0.014461853485407367;0.016304688594392186
0.03;19.5;49.14998035033058;-0.086954647;32.683337369001265;0.24067542;-50.91597186;0.097655737;0.042293962;0.000470381;0.11181571704252845;0.11954812844707377
0.04;19.5;48.799880488708723;-0.107728006;32.676006951368208;0.125343015;-57.10719568;-0.04834862;0.051434439180878366;0.000432661;0.21000823365982246;0.21621551039307604
0.05;19.5;48.360273643329847;-0.093321236;32.658268370664473;0.269458971;-63.16635885;-0.08984055;0.039140458952928052;0.000479494;0.309892463;0.31235483629737254
0.06;19.5;47.782804115608442;-0.101660936;32.639888205564375;0.348746077;-69.89815934;-0.123985749;-0.002940821;0.000849115;0.40730319277843596;0.40731469439856516
0.07;19.5;47.15302215;-0.112897947;32.620494046247359;0.427760586;-76.08600753;0.351965349;-0.059453071;0.001632261;0.49907041837480226;0.50260184483184611
0.08;19.5;46.97403558;-0.091134467;32.609679781949873;0.146377414;-78.82761443;0.160433321;-0.124283858;0.000150453;0.59013877937614978;0.60308397326552909
0.09;19.5;46.87403558;-0.071134467;32.587679781949873;0.046377414;-80.82761443;0.121;-0.134283858;0.000140453;0.62013877937614978;0.60308397326552909
0.1;19.5;46.721475346878279;-0.05985949;32.222063221967574;0.845930212;-85.72956418;0.263371411;-0.22767209;-0.002753083;0.75226813814204307;0.78597042666287908
0;20.5;56.003298196484494;0.052009445;13.001241409189561;3.632705E-06;-0.002533118;1.2897014E-05;0;0;0;0
0.01;20.5;53.616973652437437;-0.032675668;24.611238398588057;0.047400735;-24.5161694;0.113187524;0;0;0;0
0.02;20.5;50.070551379516829;-0.141566364;31.687248148954268;-1.696295557;-42.90288986;1.311503088;0.016797981673636418;0.000329204;0.026668127634356879;0.031519352705679224
0.03;20.5;50.138208671406019;-0.100629027;31.670106806791182;0.048198039;-47.1369943;0.285487394;-0.003085006;0.000483176;0.085296212261740847;0.085353351130980956
0.04;20.5;49.463111980751265;-0.095176657;31.674415268934126;0.289193542;-55.119938;0.092670972;0.061244736686693238;0.001438332;0.220070469;0.22843817038474398
0.05;20.5;49.076265378788221;-0.066247878;31.665716090238448;0.27794471;-61.2202919;0.098862148;0.050026156011985762;0.001144181;0.32073680862702192;0.32461673685076703
0.06;20.5;48.558670683696974;-0.102123225;31.647384800947066;0.326087791;-68.06607746;0.355726992;0.010340483440260569;0.001719191;0.41722691537538603;0.41735857500391893
0.07;20.5;47.922889931991804;-0.093241154;31.623979249036665;0.750693479;-74.90523625;0.083467696;-0.05632119;0.001958827;0.51631666809425847;0.51938311019295336
0.08;20.5;47.61092161;-0.10488741;31.606063284910078;0.491746431;-79.49734689;0.06396858;-0.130614813;0.001748281;0.60190259673222457;0.61591397284251281
0.09;20.5;47.409260495498884;-0.096966811;31.521089472806807;0.472998302;-82.02415617;0.603616267;-0.154667981;0.000114493;0.71043243239636455;0.72707388799460659
0.1;20.5;47.432571395233381;-0.042988804;31.31257668975627;0.823596667;-84.55130593;0.34776417;-0.216307261;-0.003048854;0.78068577151313978;0.81010394420261644
0;21.5;56.00329843;0.052008303915501486;13.001244779907893;3.887898E-06;-0.00252963;1.571915E-05;0;0;0;0
0.01;21.5;53.612422241762388;-0.05399946;24.642130293882246;-2.81E-05;-24.45669409;0.120580293;0;0;0;0
0.02;21.5;50.76911847;-0.103423717;30.665288605726118;0.076782961;-40.36313859;0.24912696;-0.003752556;0.000169631;0.020160975692715483;0.020507934867344785
0.03;21.5;50.428722306087721;-0.110808681;30.693134226835127;0.021181794;-46.91812257;0.342490686;0.051753609824649979;-0.000113386;0.12682261110373366;0.13697599670533819
